datetime,open,high,low,close
2021-04-18 04:00:00,0.463188,0.464451,0.463188,0.464451
2021-04-18 08:00:00,0.464575,0.477508,0.464575,0.471652
2021-04-18 12:00:00,0.47203,0.47203,0.414082,0.414082
2021-04-18 16:00:00,0.412212,0.412212,0.389115,0.39724
2021-04-18 20:00:00,0.408643,0.408643,0.38121,0.388133
2021-04-19 00:00:00,0.370549,0.412609,0.370549,0.391398
2021-04-19 04:00:00,0.403633,0.403633,0.392538,0.394128
2021-04-19 08:00:00,0.419065,0.434902,0.40125,0.434902
2021-04-19 12:00:00,0.404495,0.438879,0.404495,0.434688
2021-04-19 16:00:00,0.434657,0.434796,0.407349,0.434796
2021-04-19 20:00:00,0.433661,0.433661,0.391207,0.391207
2021-04-20 00:00:00,0.400384,0.400384,0.373198,0.373198
2021-04-20 04:00:00,0.375816,0.413452,0.375816,0.413452
2021-04-20 08:00:00,0.393476,0.418428,0.38884,0.38884
2021-04-20 12:00:00,0.380417,0.380417,0.35375,0.35375
2021-04-20 16:00:00,0.356156,0.376255,0.346107,0.346107
2021-04-20 20:00:00,0.354056,0.369142,0.354056,0.369142
2021-04-21 00:00:00,0.370244,0.382813,0.369303,0.369303
2021-04-21 04:00:00,0.369597,0.395675,0.369597,0.395675
2021-04-21 08:00:00,0.397327,0.399579,0.375599,0.375599
2021-04-21 12:00:00,0.374197,0.397978,0.368236,0.397978
2021-04-21 16:00:00,0.387232,0.389711,0.38674,0.389711
2021-04-21 20:00:00,0.372557,0.391162,0.36463,0.36463
2021-04-22 00:00:00,0.356835,0.389202,0.356835,0.389202
2021-04-22 04:00:00,0.377151,0.390357,0.372744,0.390357
2021-04-22 08:00:00,0.368487,0.382016,0.368487,0.372987
2021-04-22 12:00:00,0.355661,0.377158,0.34644,0.36762
2021-04-22 16:00:00,0.364375,0.367465,0.360183,0.360183
2021-04-22 20:00:00,0.34325,0.351129,0.342302,0.351129
2021-04-23 00:00:00,0.366885,0.366885,0.361766,0.362182
2021-04-23 04:00:00,0.358792,0.358792,0.338423,0.338423
2021-04-23 08:00:00,0.330714,0.330714,0.313077,0.313077
2021-04-23 12:00:00,0.305622,0.305622,0.240178,0.258216
2021-04-23 16:00:00,0.264616,0.268084,0.256887,0.268084
2021-04-23 20:00:00,0.261291,0.290109,0.261291,0.290109
2021-04-24 00:00:00,0.284906,0.284906,0.271729,0.282095
2021-04-24 04:00:00,0.281031,0.281031,0.268852,0.277367
2021-04-24 08:00:00,0.278349,0.284829,0.274875,0.284829
2021-04-24 12:00:00,0.287869,0.287869,0.273357,0.279049
2021-04-24 16:00:00,0.279086,0.29401,0.279086,0.292533
2021-04-24 20:00:00,0.288199,0.292962,0.271878,0.271878
2021-04-25 00:00:00,0.267561,0.278864,0.267561,0.2762
2021-04-25 04:00:00,0.280696,0.283997,0.280696,0.283997
2021-04-25 08:00:00,0.284804,0.28707,0.274962,0.274962
2021-04-25 12:00:00,0.275598,0.28391,0.275598,0.28391
2021-04-25 16:00:00,0.271472,0.274363,0.27127,0.27127
2021-04-25 20:00:00,0.276251,0.289848,0.276251,0.289848
2021-04-26 00:00:00,0.293926,0.301257,0.287538,0.301257
2021-04-26 04:00:00,0.301273,0.301273,0.289728,0.289728
2021-04-26 08:00:00,0.277571,0.277571,0.264485,0.26622
2021-04-26 12:00:00,0.276583,0.298514,0.276583,0.292777
2021-04-26 16:00:00,0.293299,0.301679,0.293299,0.296756
2021-04-26 20:00:00,0.302366,0.308082,0.298199,0.308082
2021-04-27 00:00:00,0.31129,0.31129,0.301145,0.306676
2021-04-27 04:00:00,0.309616,0.311907,0.30477,0.311907
2021-04-27 08:00:00,0.305017,0.311945,0.298262,0.311945
2021-04-27 12:00:00,0.311111,0.339911,0.311111,0.33973
2021-04-27 16:00:00,0.338538,0.346535,0.333404,0.346535
2021-04-27 20:00:00,0.334689,0.344775,0.333307,0.344775
2021-04-28 00:00:00,0.348536,0.348536,0.331202,0.331202
2021-04-28 04:00:00,0.334598,0.336888,0.334598,0.336888
2021-04-28 08:00:00,0.336174,0.344423,0.336174,0.344423
2021-04-28 12:00:00,0.346351,0.361411,0.346351,0.347894
2021-04-28 16:00:00,0.343487,0.343487,0.324995,0.324995
2021-04-28 20:00:00,0.329895,0.330801,0.324094,0.330801
2021-04-29 00:00:00,0.337708,0.337708,0.321324,0.321324
2021-04-29 04:00:00,0.321808,0.334769,0.321808,0.332222
2021-04-29 08:00:00,0.337973,0.337973,0.330947,0.335674
2021-04-29 12:00:00,0.337206,0.340118,0.327872,0.340118
2021-04-29 16:00:00,0.328533,0.337703,0.328533,0.337703
2021-04-29 20:00:00,0.341285,0.341285,0.337432,0.340711
2021-04-30 00:00:00,0.338291,0.349956,0.338291,0.343933
2021-04-30 04:00:00,0.345551,0.345551,0.330608,0.333101
2021-04-30 08:00:00,0.336051,0.341144,0.334213,0.341144
2021-04-30 12:00:00,0.340264,0.340264,0.334335,0.337145
2021-04-30 16:00:00,0.338748,0.344856,0.338748,0.34367
2021-04-30 20:00:00,0.345008,0.348381,0.338008,0.338008
2021-05-01 00:00:00,0.342708,0.34733,0.342708,0.34733
2021-05-01 04:00:00,0.353102,0.358141,0.353102,0.356962
2021-05-01 08:00:00,0.35414,0.358252,0.35414,0.358049
2021-05-01 12:00:00,0.358146,0.358146,0.345565,0.355057
2021-05-01 16:00:00,0.357149,0.357149,0.35444,0.355404
2021-05-01 20:00:00,0.352026,0.352026,0.338796,0.34931
2021-05-02 00:00:00,0.352955,0.353892,0.349374,0.349374
2021-05-02 04:00:00,0.350315,0.352776,0.350315,0.352776
2021-05-02 08:00:00,0.355174,0.355573,0.353449,0.355516
2021-05-02 12:00:00,0.35326,0.356433,0.351891,0.356433
2021-05-02 16:00:00,0.333916,0.34914,0.333916,0.347008
2021-05-02 20:00:00,0.345708,0.347117,0.342946,0.347117
2021-05-03 00:00:00,0.346599,0.347171,0.346599,0.346884
2021-05-03 04:00:00,0.347557,0.351252,0.347557,0.350521
2021-05-03 08:00:00,0.35339,0.353581,0.347247,0.347247
2021-05-03 12:00:00,0.34985,0.354416,0.34985,0.354416
2021-05-03 16:00:00,0.351706,0.354693,0.351706,0.352682
2021-05-03 20:00:00,0.35463,0.361035,0.347276,0.361035
2021-05-04 00:00:00,0.360498,0.360498,0.346006,0.353708
2021-05-04 04:00:00,0.353606,0.363343,0.353606,0.363343
2021-05-04 08:00:00,0.362469,0.362469,0.347547,0.349083
2021-05-04 12:00:00,0.354693,0.354693,0.325995,0.328283
2021-05-04 16:00:00,0.329196,0.341607,0.329196,0.340534
2021-05-04 20:00:00,0.336051,0.341948,0.328213,0.341948
2021-05-05 00:00:00,0.338732,0.338732,0.310392,0.310392
2021-05-05 04:00:00,0.31208,0.327074,0.31208,0.327074
2021-05-05 08:00:00,0.317556,0.327212,0.317556,0.327212
2021-05-05 12:00:00,0.325525,0.330715,0.325525,0.330026
2021-05-05 16:00:00,0.324464,0.325134,0.310929,0.323231
2021-05-05 20:00:00,0.319367,0.333247,0.319367,0.32493
2021-05-06 00:00:00,0.328109,0.34178,0.328109,0.336504
2021-05-06 04:00:00,0.335915,0.375961,0.335915,0.375961
2021-05-06 08:00:00,0.363121,0.370448,0.363121,0.369154
2021-05-06 12:00:00,0.370736,0.399883,0.370736,0.384151
2021-05-06 16:00:00,0.392149,0.392149,0.375712,0.375712
2021-05-06 20:00:00,0.381041,0.384166,0.37826,0.384166
2021-05-07 00:00:00,0.384165,0.384165,0.376168,0.38135
2021-05-07 04:00:00,0.37621,0.391324,0.36766,0.36766
2021-05-07 08:00:00,0.384835,0.390156,0.376898,0.38913
2021-05-07 12:00:00,0.385894,0.386109,0.378104,0.381144
2021-05-07 16:00:00,0.370001,0.385223,0.368881,0.385223
2021-05-07 20:00:00,0.382323,0.406813,0.382323,0.406813
