id,symbol,name,image,market_cap,market_cap_rank,total_volume,high_24h,current_price,low_24h,price_change_24h,price_change_percentage_24h,total_supply,max_supply,circulating_supply,last_updated
okb,OKB,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,7762586078,26,1271917972,29.96,28.81,26.99,-0.37273705,-1.27727,300000000.0,,269444871.26,2021-05-18T09:19:18.717Z
filecoin,FIL,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,7467540057,27,1041608317,105.78,102.63,96.4,0.03145731,0.03066,1974558099.0,1974558099.0,72589087.0,2021-05-18T09:19:30.515Z
neo,NEO,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,6277761583,28,1312928798,91.0,89.01,81.7,-0.07039047,-0.07902,100000000.0,,70530000.0,2021-05-18T09:18:57.293Z
monero,XMR,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,6221651347,29,452764386,365.82,346.78,334.71,-14.1858536,-3.93,,,17912062.1783745,2021-05-18T09:20:42.629Z
terra-luna,LUNA,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,5846054343,30,344178959,15.6,15.27,14.66,-0.12701694,-0.82498,957521785.207581,,382862891.228662,2021-05-18T09:19:01.517Z
compound-ether,CETH,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,5575200379,31,17135989,70.73,70.4,64.07,0.27714,0.39523,79194237.3096326,,79194237.3096326,2021-05-18T08:05:31.895Z
klay-token,KLAY,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,5523289790,32,57653181,2.29,2.24,2.13,-0.00294568,-0.13128,,,2464816759.6,2021-05-18T09:19:44.907Z
kusama,KSM,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,5460656226,35,905834706,621.71,607.56,542.14,34.09,5.94398,10000000.0,10000000.0,8980098.074112339,2021-05-18T09:20:46.936Z
iota,MIOTA,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,5454218275,33,204671435,2.01,1.96,1.77,0.03120368,1.61896,2779530283.0,,2779530283.277761,2021-05-18T09:20:11.491Z
bitcoin-cash-sv,BSV,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,5436509880,34,1739617311,295.68,290.16,270.9,1.78,0.6169,21000000.0,,18735951.644239,2021-05-18T09:19:07.539Z
cosmos,ATOM,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,5321289049,36,1093512472,23.7,22.31,20.74,-0.97365691,-4.18189,,,238526146.88641,2021-05-18T09:18:57.852Z
huobi-token,HT,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,5007923076,37,931832733,29.42,28.6,26.67,0.817461,2.94187,500000000.0,500000000.0,175074232.25441208,2021-05-18T09:19:58.532Z
pancakeswap-token,CAKE,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,4784651078,39,518373030,28.82,28.29,25.47,0.671522,2.43138,,,168539188.073649,2021-05-18T09:19:00.047Z
thorchain,RUNE,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,4769977543,38,183086655,20.34,19.83,17.7,0.764006,4.00714,500000000.0,500000000.0,240542056.52691227,2021-05-18T09:20:28.827Z
dai,DAI,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,4756725412,40,876632887,1.01,0.99575,0.991457,-0.00654536,-0.65304,4777028099.40752,4777028099.40752,4777028099.40752,2021-05-18T09:06:45.399Z
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,4698663529,41,507569716,37.56,36.4,32.87,1.45,4.1561,377752194.4695483,720000000.0,129090912.480876,2021-05-18T09:19:45.024Z
ftx-token,FTT,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,4623391859,42,206482119,53.5,52.58,48.26,0.47505,0.91179,338687959.268889,338687959.268889,87815623.20166124,2021-05-18T09:20:46.626Z
tezos,XTZ,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4556755271,43,264137701,5.55,5.48,5.06,0.067027,1.23901,,,832021870.578017,2021-05-18T09:19:01.314Z
safemoon,SAFEMOON,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,4479253271,44,72412227,8.02e-06,7.65e-06,6.27e-06,2.9e-07,3.90321,1000000000000000.0,,584385157656250.6,2021-05-18T09:18:49.856Z
maker,MKR,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,4430228258,45,432228793,4950.83,4915.32,4170.87,361.07,7.92824,994400.395512191,1005577.0,901310.9472893132,2021-05-18T09:18:50.770Z
cdai,CDAI,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,4211907467,46,22795514,0.02174609,0.02138366,0.0207828,-0.00028305,-1.30639,196968490528.437,,196968490528.437,2021-05-18T08:10:40.603Z
algorand,ALGO,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,4131689744,47,584546789,1.39,1.36,1.27,-0.00765194,-0.56015,10000000000.0,10000000000.0,3041592760.87562,2021-05-18T09:19:42.261Z
compound-usd-coin,CUSDC,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,4031066564,48,82747818,0.02251187,0.02196733,0.02132789,-0.00011898,-0.53871,183502830360.674,,183502830360.674,2021-05-18T08:05:32.275Z
crypto-com-chain,CRO,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,3774878638,49,84164584,0.153785,0.149423,0.141897,-0.00242818,-1.59905,30263013692.0,,25263013692.0,2021-05-18T09:19:27.516Z
bittorrent-2,BTT,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,3715115534,50,1272825088,0.00581835,0.00563689,0.0053468,-8.555e-05,-1.49503,990000000000.0,,659071882049.0,2021-05-18T09:20:34.744Z
